R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
3.6500;202.4189;180.7357;123.1483;49.1346;-19.4677;-69.3677;-98.6218;-112.1750;-116.7805;-118.0074;-118.3314;-114.7903;-95.1502;-32.2107;120.3804;415.1719;852.9699;1295.5576;1489.4355
3.7000;128.2786;111.0314;65.2315;6.5156;-47.4746;-86.0518;-107.8351;-117.1030;-119.6345;-120.2533;-121.2368;-120.3562;-107.6843;-60.8892;58.1383;292.5014;643.0569;998.1998;1153.8274
3.7500;68.8098;55.2319;19.1802;-26.8945;-68.8340;-98.1089;-113.7944;-119.5985;-120.4723;-120.6013;-122.0841;-123.2987;-116.2497;-82.6737;8.7033;193.2546;472.0491;755.4575;879.7609
3.8000;21.5417;10.9873;-17.0326;-52.7004;-84.7407;-106.4073;-117.1431;-120.1686;-119.7313;-119.4699;-121.3206;-124.1598;-121.6048;-98.7840;-30.0814;113.5573;333.5021;558.2201;656.9354
3.8500;-15.6117;-23.6851;-45.1153;-72.2515;-96.1959;-111.6717;-118.4161;-119.2329;-117.7720;-117.2035;-119.3149;-123.3893;-124.3849;-110.2505;-60.0457;50.1235;221.9661;398.8050;476.6746
3.9000;-44.4083;-50.4557;-66.5049;-86.6802;-104.0374;-114.5057;-118.0563;-117.1373;-114.8905;-114.0844;-116.3701;-121.3590;-125.1198;-117.9410;-82.7380;0.1724;132.8406;270.7452;331.6832
3.9500;-66.3272;-70.7294;-82.4084;-96.9353;-108.9643;-115.4107;-116.4298;-114.1654;-111.3288;-110.3428;-112.7336;-118.3747;-124.2504;-122.5841;-99.4653;-38.6438;62.2506;168.6064;215.8376
4.0000;-82.6106;-85.6852;-93.8373;-103.8099;-111.5587;-114.8017;-113.8373;-110.5494;-107.2833;-106.1655;-108.6066;-114.6868;-122.1415;-124.7892;-111.3274;-68.3030;6.9381;87.8311;124.0069
4.0500;-94.2996;-96.3110;-101.6374;-107.9652;-112.3039;-113.0213;-110.5252;-106.4777;-102.9131;-101.7030;-104.1515;-110.4992;-119.0937;-125.0647;-119.2474;-90.4669;-35.8296;24.6043;51.9002
4.1000;-102.2650;-103.4322;-106.5147;-109.9513;-111.5998;-110.3509;-106.6944;-102.1024;-98.3456;-97.0757;-99.4987;-105.9766;-115.3538;-123.8326;-123.9973;-106.5283;-68.3399;-24.2607;-4.0638
4.1500;-107.2330;-107.7372;-109.0563;-110.2242;-109.7763;-107.0209;-102.5077;-97.5457;-93.6819;-92.3788;-94.7514;-101.2516;-111.1227;-121.4419;-126.2209;-117.6511;-92.5025;-61.4204;-46.8680
4.2000;-109.8080;-109.7984;-109.7497;-109.1610;-107.1044;-103.2191;-98.0958;-92.9046;-89.0019;-87.6870;-89.9910;-96.4293;-106.5633;-118.1799;-126.4532;-124.8053;-109.9081;-89.0837;-78.9914
4.2500;-110.4914;-110.0902;-108.9979;-107.0723;-103.8058;-99.0971;-93.5635;-88.2553;-84.3675;-83.0580;-85.2805;-91.5925;-101.8064;-114.2817;-125.1364;-128.7966;-121.8779;-109.0835;-102.4893
4.3000;-109.6978;-109.0046;-107.1332;-104.2126;-100.0609;-94.7770;-88.9933;-83.6571;-79.8258;-78.5355;-80.6680;-86.8057;-96.9563;-109.9386;-122.6354;-130.2920;-129.5061;-122.9360;-119.0613
4.3500;-107.7685;-106.8642;-104.4282;-100.7900;-96.0155;-90.3562;-84.4499;-79.1552;-75.4123;-74.1518;-76.1890;-82.1178;-92.0949;-105.3052;-119.2489;-129.8417;-133.6963;-131.8924;-130.1093
4.4000;-104.9837;-103.9334;-101.1056;-96.9731;-91.7868;-85.9114;-79.9829;-74.7831;-71.1526;-69.9299;-71.8695;-77.5653;-87.2862;-100.5054;-115.2207;-127.8972;-135.1917;-136.9819;-136.7858
4.4500;-101.5721;-100.4277;-97.3464;-92.8982;-87.4681;-81.5026;-75.6299;-70.5654;-67.0644;-65.8856;-67.7271;-73.1748;-82.5785;-95.6375;-110.7482;-124.8282;-134.6015;-139.0480;-140.0356
4.5000;-97.7193;-96.5221;-93.2965;-88.6741;-83.1328;-77.1756;-71.4184;-66.5188;-63.1591;-62.0285;-63.7732;-68.9644;-78.0083;-90.7784;-105.9903;-120.9348;-132.4230;-138.7797;-140.6301
4.6000;-89.2591;-88.0455;-84.7695;-80.1057;-74.6283;-68.8962;-63.4915;-58.9771;-55.9189;-54.8922;-56.4512;-61.1249;-69.3767;-81.3108;-96.0984;-111.5986;-124.8392;-133.3739;-136.2435
