# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 6.60521000e+00  6.57020152e-01 -1.23428479e+00  2.97963463e+00 -7.58624229e-01  1.41145495e+00  2.46981603e-02  3.09480400e-01  5.84965107e-02  5.45403452e-02  2.26583018e-02  1.94647093e-02 -7.78651793e-03 -3.98985674e-03  2.16440937e-02  2.99820640e-02 -1.22738915e-02  1.44301716e-02  1.84946889e-03  2.47372097e-02
 6.65731500e+00  4.95348476e-01 -1.15764055e+00  2.63329417e+00 -7.30301915e-01  1.25929839e+00  8.83941469e-03  2.71807150e-01  5.08598814e-02  4.68900829e-02  1.91156437e-02  1.81771266e-02 -9.63985480e-03 -4.87875294e-03  2.00224765e-02  2.80415747e-02 -1.14392498e-02  1.31765947e-02  1.35843683e-03  2.28988173e-02
 6.70941900e+00  3.51896025e-01 -1.08438921e+00  2.32048197e+00 -7.01544953e-01  1.12183677e+00 -4.76324853e-03  2.38201798e-01  4.41601266e-02  4.03548586e-02  1.59392254e-02  1.71186592e-02 -1.13663143e-02 -5.82314772e-03  1.86180524e-02  2.62435462e-02 -1.07498231e-02  1.19280785e-02  1.21158179e-03  2.09521802e-02
 6.76152300e+00  2.24960695e-01 -1.01451492e+00  2.03824630e+00 -6.72590610e-01  9.97747148e-01 -1.63498882e-02  2.08266551e-01  3.82959353e-02  3.47677691e-02  1.31032579e-02  1.62428605e-02 -1.29733567e-02 -6.78899814e-03  1.74108653e-02  2.45656857e-02 -1.01882584e-02  1.07006538e-02  1.35159255e-03  1.89621193e-02
 6.81362700e+00  1.12990097e-01 -9.47986828e-01  1.78388811e+00 -6.43641194e-01  8.85825437e-01 -2.61382663e-02  1.81640157e-01  3.31752506e-02  2.99822457e-02  1.05841346e-02  1.55088183e-02 -1.44626535e-02 -7.74395388e-03  1.63753580e-02  2.29889351e-02 -9.73453244e-03  9.50612139e-03  1.72624839e-03  1.69853798e-02
 6.86573100e+00  1.45648897e-02 -8.84759854e-01  1.55493264e+00 -6.14868527e-01  7.84972147e-01 -3.43263813e-02  1.57993151e-01  2.87140681e-02  2.58708085e-02  8.35942496e-03  1.48811042e-02 -1.58318202e-02 -8.65882404e-03  1.54826484e-02  2.14974645e-02 -9.36741855e-03  8.35285569e-03  2.28803142e-03  1.50697313e-02
 6.91783600e+00 -7.16146737e-02 -8.24775437e-01  1.34910631e+00 -5.86417626e-01  6.94180734e-01 -4.10944399e-02  1.37024241e-01  2.48356503e-02  2.23237469e-02  6.40728631e-03  1.43296576e-02 -1.70759782e-02 -9.50859992e-03  1.47025658e-02  2.00784906e-02 -9.06577566e-03  7.24655959e-03  2.99385417e-03  1.32536371e-02
 6.96994000e+00 -1.46732945e-01 -7.67967626e-01  1.16433460e+00 -5.58412432e-01  6.12535560e-01 -4.66059461e-02  1.18459235e-01  2.14703215e-02  1.92479821e-02  4.70634801e-03  1.38296269e-02 -1.81890041e-02 -1.02730000e-02  1.40054412e-02  1.87221064e-02 -8.80963946e-03  6.19103460e-03  3.80479027e-03  1.15665534e-02
 7.02204400e+00 -2.11878173e-01 -7.14257539e-01  9.98702758e-01 -5.30955498e-01  5.39193677e-01 -5.10098437e-02  1.02046469e-01  1.85546689e-02  1.65651607e-02  3.23543615e-03  1.33610174e-02 -1.91647943e-02 -1.09368323e-02  1.33634034e-02  1.74207732e-02 -8.58101613e-03  5.18862987e-03  4.68600151e-03  1.00292304e-02
 7.07414800e+00 -2.68044055e-01 -6.63559273e-01  8.50457932e-01 -5.04132690e-01  4.73385130e-01 -5.44411740e-02  8.75566482e-02  1.60315700e-02  1.42103737e-02  1.97381697e-03  1.29083656e-02 -1.99980594e-02 -1.14899051e-02  1.27514753e-02  1.61690598e-02 -8.36449151e-03  4.24078910e-03  5.60656732e-03  8.65461485e-03
