R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
4.0500;-75.7724;-77.9906;-84.0569;-92.0206;-98.8810;-102.1319;-101.2056;-97.4561;-93.2224;-90.9971;-92.8075;-99.3495;-108.8214;-116.1316;-112.7526;-87.7680;-35.4705;26.9292;56.4066
4.1000;-81.8988;-83.4992;-87.8666;-93.5127;-98.0833;-99.5996;-97.6772;-93.5453;-89.2766;-87.0960;-88.8801;-95.4453;-105.5401;-115.1464;-117.4282;-103.6151;-68.7328;-24.9641;-3.9568
4.1500;-85.6627;-86.7758;-89.8005;-93.6116;-96.3734;-96.5373;-93.8695;-89.4922;-85.2494;-83.1320;-84.8728;-91.3685;-101.8150;-113.0867;-119.7365;-114.7189;-93.6184;-64.5908;-50.2778
4.2000;-87.5783;-88.3091;-90.2778;-92.6436;-93.9860;-93.1068;-89.8946;-85.3791;-81.2081;-79.1667;-80.8519;-87.2082;-97.7913;-110.2144;-120.1680;-121.9879;-111.6856;-94.2186;-85.1522
4.2500;-88.0614;-88.4938;-89.6370;-90.8716;-91.1094;-89.4364;-85.8402;-81.2700;-77.2044;-75.2475;-76.8684;-83.0337;-93.5852;-106.7444;-119.1298;-126.1801;-124.2352;-115.7377;-110.7419
4.3000;-87.4471;-87.6484;-88.1507;-88.5070;-87.8938;-85.6275;-81.7746;-77.2141;-73.2775;-71.4101;-72.9613;-78.8989;-89.2891;-102.8511;-116.9582;-127.9260;-132.3498;-130.7199;-128.8430
4.3500;-86.0044;-86.0282;-86.0375;-85.7184;-84.4581;-81.7589;-77.7500;-73.2478;-69.4566;-67.6810;-69.1593;-74.8445;-84.9754;-98.6758;-113.9299;-127.7483;-136.9285;-140.4684;-140.9440
4.4000;-83.9489;-83.8379;-83.4720;-82.6400;-80.8960;-77.8919;-73.8057;-69.3983;-65.7626;-64.0792;-65.4831;-70.9008;-80.7004;-94.3319;-110.2715;-126.0787;-138.7150;-146.0609;-148.2749
4.4500;-81.4521;-81.2402;-80.5930;-79.3776;-77.2805;-74.0731;-69.9707;-65.6846;-62.2100;-60.6177;-61.9473;-67.0896;-76.5071;-89.9096;-106.1677;-123.2723;-138.3229;-148.3856;-151.8489
4.5000;-78.6502;-78.3640;-77.5098;-76.0144;-73.6679;-70.3373;-66.2658;-62.1195;-58.8079;-57.3046;-58.5609;-63.4262;-72.4276;-85.4801;-101.7678;-119.6201;-136.2561;-148.1721;-152.4978
4.6000;-72.5362;-72.1605;-71.0561;-69.2284;-66.6120;-63.2091;-59.2968;-55.4627;-52.4732;-51.1384;-52.2544;-56.5767;-64.6958;-76.8070;-92.5357;-110.6812;-128.6712;-142.4065;-147.6140
4.7000;-66.2112;-65.7982;-64.5904;-62.6352;-59.9540;-56.6306;-52.9554;-49.4493;-46.7658;-45.5846;-46.5714;-50.3837;-57.6143;-68.6123;-83.2665;-100.6605;-118.4122;-132.3170;-137.6716
4.8000;-60.0317;-59.6127;-58.3895;-56.4305;-53.8064;-50.6482;-47.2457;-44.0630;-41.6621;-40.6183;-41.4889;-44.8361;-51.2183;-61.0539;-74.3788;-90.4484;-107.0665;-120.2106;-125.2991
4.9000;-54.1954;-53.7885;-52.6007;-50.7092;-48.2110;-45.2615;-42.1417;-39.2659;-37.1216;-36.1995;-36.9668;-39.8981;-45.4974;-54.1975;-66.1072;-80.5871;-95.6268;-107.5412;-112.1551
5.0000;-48.8001;-48.4148;-47.2901;-45.5045;-43.1673;-40.4438;-37.6009;-35.0097;-33.0958;-32.2806;-32.9571;-35.5217;-40.4148;-48.0505;-58.5638;-71.3833;-84.6837;-95.1862;-99.2429
5.1000;-43.8815;-43.5225;-42.4740;-40.8123;-38.6501;-36.1538;-33.5736;-31.2423;-29.5337;-28.8122;-29.4093;-31.6534;-35.9201;-42.5850;-51.7823;-62.9885;-74.5597;-83.6389;-87.1306
5.2000;-39.4388;-39.1075;-38.1396;-36.6072;-34.6216;-32.3444;-30.0082;-27.9120;-26.3856;-25.7459;-26.2738;-28.2396;-31.9568;-37.7537;-45.7478;-55.4538;-65.4025;-73.1430;-76.1032
5.3000;-35.4501;-35.1462;-34.2583;-32.8534;-31.0383;-28.9671;-26.8546;-24.9695;-23.6043;-23.0360;-23.5038;-25.2290;-28.4682;-33.4994;-40.4169;-48.7681;-57.2498;-63.7835;-66.2662
5.4000;-31.8827;-31.6051;-30.7935;-29.5101;-27.8556;-25.9750;-24.0656;-22.3694;-21.1467;-20.6409;-21.0563;-22.5738;-25.3997;-29.7627;-35.7312;-42.8842;-50.0724;-55.5490;-57.6154
5.5000;-28.6995;-28.4464;-27.7063;-26.5363;-25.0305;-23.3243;-21.5982;-20.0707;-18.9739;-18.5227;-18.8926;-20.2309;-22.7006;-26.4847;-31.6267;-37.7356;-43.8039;-48.3732;-50.0844
5.6000;-25.8625;-25.6319;-24.9576;-23.8921;-22.5227;-20.9749;-19.4138;-18.0367;-17.0512;-16.6478;-16.9781;-18.1617;-20.3251;-23.6105;-28.0384;-33.2478;-38.3592;-42.1613;-43.5743
5.7000;-23.3350;-23.1250;-22.5108;-21.5407;-20.2955;-18.8909;-17.4779;-16.2348;-15.3479;-14.9864;-15.2821;-16.3321;-18.2323;-21.0896;-24.9046;-29.3453;-33.6474;-36.8078;-37.9731
5.8000;-21.0828;-20.8914;-20.3319;-19.4485;-18.3158;-17.0404;-15.7602;-14.6365;-13.8369;-13.5123;-13.7777;-14.7120;-16.3861;-18.8768;-22.1679;-25.9560;-29.5784;-32.2065;-33.1679
5.9000;-19.0746;-18.9001;-18.3902;-17.5853;-16.5543;-15.3951;-14.2339;-13.2167;-12.4947;-12.2026;-12.4414;-13.2752;-14.7549;-16.9318;-19.7768;-23.0130;-26.0677;-28.2569;-29.0516
6.0000;-17.2824;-17.1232;-16.6580;-15.9241;-14.9848;-13.9304;-12.8757;-11.9537;-11.3005;-11.0372;-11.2526;-11.9990;-13.3109;-15.2195;-17.6851;-20.4563;-23.0385;-24.8671;-25.5261
6.1000;-15.6812;-15.5358;-15.1110;-14.4412;-13.5847;-12.6243;-11.6653;-10.8283;-10.2365;-9.9987;-10.1933;-10.8633;-12.0305;-13.7093;-15.8525;-18.2324;-20.4224;-21.9557;-22.5044
6.2000;-14.2488;-14.1158;-13.7275;-13.1155;-12.3337;-11.4581;-10.5849;-9.8240;-9.2869;-9.0717;-9.2480;-9.8510;-10.8928;-12.3747;-14.2439;-16.2948;-18.1594;-19.4510;-19.9103
6.3000;-12.9656;-12.8439;-12.4886;-11.9289;-11.2143;-10.4150;-9.6189;-8.9262;-8.4380;-8.2429;-8.4030;-8.9471;-9.8799;-11.1925;-12.8288;-14.6030;-16.1977;-17.2917;-17.6784
6.4000;-11.8145;-11.7031;-11.3775;-10.8650;-10.2112;-9.4807;-8.7539;-8.1224;-7.6780;-7.5008;-7.6464;-8.1386;-8.9763;-10.1432;-11.5810;-13.1223;-14.4929;-15.4249;-15.7527
6.5000;-10.7805;-10.6782;-10.3796;-9.9098;-9.3109;-8.6424;-7.9781;-7.4015;-6.9964;-6.8353;-6.9679;-7.4142;-8.1687;-9.2097;-10.4781;-11.8229;-13.0071;-13.8061;-14.0859
6.6000;-9.8501;-9.7562;-9.4820;-9.0508;-8.5017;-7.8891;-7.2812;-6.7541;-6.3843;-6.2375;-6.3585;-6.7640;-7.4455;-8.3774;-9.5006;-10.6794;-11.7081;-12.3975;-12.6380
6.7000;-9.0119;-8.9255;-8.6735;-8.2773;-7.7731;-7.2113;-6.6542;-6.1717;-5.8336;-5.6997;-5.8104;-6.1795;-6.7966;-7.6335;-8.6323;-9.6701;-10.5686;-11.1674;-11.3758
6.8000;-8.2556;-8.1761;-7.9442;-7.5797;-7.1163;-6.6003;-6.0892;-5.6470;-5.3375;-5.2152;-5.3165;-5.6531;-6.2134;-6.9674;-7.8588;-8.7768;-9.5659;-10.0893;-10.2711
6.9000;-7.5722;-7.4989;-7.2853;-6.9497;-6.5232;-6.0488;-5.5793;-5.1735;-4.8898;-4.7780;-4.8708;-5.1785;-5.6882;-6.3695;-7.1680;-7.9836;-8.6804;-9.1409;-9.3005
7.0000;-6.9538;-6.8862;-6.6892;-6.3799;-5.9870;-5.5503;-5.1185;-4.7457;-4.4854;-4.3829;-4.4681;-4.7497;-5.2145;-5.8319;-6.5497;-7.2775;-7.8959;-8.3034;-8.4445
7.2000;-5.8852;-5.8275;-5.6594;-5.3957;-5.0612;-4.6900;-4.3236;-4.0078;-3.7877;-3.7014;-3.7735;-4.0105;-4.3991;-4.9101;-5.4960;-6.0825;-6.5766;-6.9011;-7.0134
7.4000;-5.0032;-4.9538;-4.8098;-4.5841;-4.2982;-3.9813;-3.6690;-3.4003;-3.2134;-3.1404;-3.2017;-3.4022;-3.7294;-4.1562;-4.6402;-5.1197;-5.5214;-5.7848;-5.8761
7.6000;-4.2716;-4.2291;-4.1053;-3.9114;-3.6660;-3.3944;-3.1271;-2.8976;-2.7382;-2.6761;-2.7284;-2.8989;-3.1762;-3.5354;-3.9394;-4.3364;-4.6677;-4.8850;-4.9604
7.8000;-3.6618;-3.6251;-3.5182;-3.3511;-3.1397;-2.9060;-2.6764;-2.4794;-2.3429;-2.2899;-2.3348;-2.4804;-2.7166;-3.0211;-3.3612;-3.6935;-3.9702;-4.1517;-4.2148
8.0000;-3.1511;-3.1193;-3.0268;-2.8822;-2.6994;-2.4976;-2.2996;-2.1300;-2.0126;-1.9672;-2.0058;-2.1308;-2.3329;-2.5926;-2.8811;-3.1618;-3.3951;-3.5483;-3.6016
