# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh c19_mEh c20_mEh c21_mEh c22_mEh c23_mEh c24_mEh c25_mEh
 6.50100200e+00  1.04632503e+00 -1.39631784e+00  3.80893122e+00 -8.36155503e-01  1.75653517e+00  4.79940031e-02  4.15289772e-01  7.98609487e-02  8.38360084e-02  2.71560871e-02  2.34456898e-02  8.26499149e-03  5.38078133e-03  3.97281792e-03  1.17555689e-02  7.25615384e-03  3.87817608e-03 -4.11281802e-03  1.24533482e-03 -2.63052318e-03 -1.62735010e-02 -4.25082154e-03  3.28904061e-03 -5.64653358e-03 -1.56176848e-04 -2.04130494e-03
 6.55310600e+00  8.41792885e-01 -1.31248881e+00  3.38292506e+00 -8.09026288e-01  1.57130440e+00  2.81625180e-02  3.67976506e-01  6.95943234e-02  7.21280888e-02  2.39201746e-02  2.08662733e-02  6.77434737e-03  4.89997375e-03  3.52890526e-03  1.06159664e-02  5.96189387e-03  4.15935729e-03 -5.75721423e-03  1.79923117e-03 -2.65203750e-03 -1.56714976e-02 -3.62557538e-03  3.19795457e-03 -5.83577558e-03 -6.57347036e-05 -1.33603941e-03
 6.60521000e+00  6.59470236e-01 -1.23196250e+00  2.99715827e+00 -7.80656863e-01  1.40373538e+00  1.11351300e-02  3.25545797e-01  6.03693750e-02  6.18261003e-02  2.11084451e-02  1.85680109e-02  5.27495485e-03  4.40254255e-03  3.18347867e-03  9.62785171e-03  4.67326867e-03  4.48784562e-03 -6.92925217e-03  2.32624958e-03 -2.67408975e-03 -1.51106655e-02 -2.93016724e-03  3.19373995e-03 -5.96835930e-03  1.91723278e-05 -7.12374279e-04
 6.65731500e+00  4.97350249e-01 -1.15480999e+00  2.64824079e+00 -7.51412150e-01  1.25227374e+00 -3.41278365e-03  2.87517372e-01  5.20676583e-02  5.27896471e-02  1.86455908e-02  1.65326180e-02  3.78735816e-03  3.89283959e-03  2.91702777e-03  8.78968250e-03  3.43147912e-03  4.84582736e-03 -7.67694358e-03  2.79131065e-03 -2.69626762e-03 -1.45849243e-02 -2.20386497e-03  3.24622308e-03 -6.03858245e-03  1.00488400e-04 -1.78541651e-04
 6.70941900e+00  3.53594762e-01 -1.08107575e+00  2.33307301e+00 -7.21614279e-01  1.11550720e+00 -1.57689148e-02  2.53470644e-01  4.45958287e-02  4.48924346e-02  1.64682424e-02  1.47445507e-02  2.33829475e-03  3.38050489e-03  2.70908752e-03  8.09216333e-03  2.27436128e-03  5.21470321e-03 -8.05086381e-03  3.16692328e-03 -2.71961268e-03 -1.40866950e-02 -1.48054712e-03  3.32720546e-03 -6.04723432e-03  1.82270661e-04  2.63205027e-04
 6.76152300e+00  2.26499377e-01 -1.01077163e+00  2.04877180e+00 -6.91543403e-01  9.92131108e-01 -2.61903806e-02  2.23029620e-01  3.78784654e-02  3.80188717e-02  1.45239119e-02  1.31884114e-02  9.56531450e-04  2.87730688e-03  2.53991026e-03  7.52036283e-03  1.23378427e-03  5.57629361e-03 -8.10292910e-03  3.43384230e-03 -2.74625293e-03 -1.36073613e-02 -7.87788934e-04  3.41209639e-03 -5.99975027e-03  2.69189299e-04  6.15236308e-04
 6.81362700e+00  1.14494194e-01 -9.43885531e-01  1.79267273e+00 -6.61443348e-01  8.80947482e-01 -3.49063451e-02  1.95857183e-01  3.18534182e-02  3.20630161e-02  1.27702705e-02  1.18477448e-02 -3.30307893e-04  2.39494993e-03  2.39176053e-03  7.05596372e-03  3.34027917e-04  5.91387231e-03 -7.88493796e-03  3.58105196e-03 -2.77890488e-03 -1.31379958e-02 -1.46642938e-04  3.48104164e-03 -5.90445969e-03  3.65417511e-04  8.83211622e-04
 6.86573100e+00  1.61314874e-02 -8.80382778e-01  1.56230475e+00 -6.31523996e-01  7.80852410e-01 -4.21214047e-02  1.71647511e-01  2.64673709e-02  2.69271073e-02  1.11740582e-02  1.07044433e-02 -1.49826100e-03  1.94361955e-03  2.24975569e-03  6.67919833e-03 -4.09152398e-04  6.21304722e-03 -7.44724970e-03  3.60529665e-03 -2.82034687e-03 -1.26700738e-02  4.28205252e-04  3.51953090e-03 -5.77107866e-03  4.73942784e-04  1.07497646e-03
 6.91783600e+00 -6.99229356e-02 -8.20207772e-01  1.35537299e+00 -6.01963417e-01  6.90827157e-01 -4.80182700e-02  1.50120552e-01  2.16725291e-02  2.25205982e-02  9.70992322e-03  9.73877589e-03 -2.52872684e-03  1.53117927e-03  2.10232015e-03  6.37044942e-03 -9.88672815e-04  6.46239336e-03 -6.83758907e-03  3.51020521e-03 -2.87294552e-03 -1.21961229e-02  9.27942272e-04  3.51850806e-03 -5.60950537e-03  5.96246235e-04  1.19964993e-03
 6.96994000e+00 -1.44889395e-01 -7.63291402e-01  1.16976394e+00 -5.72912703e-01  6.09939182e-01 -5.27595631e-02  1.31019871e-01  1.74247118e-02  1.87598880e-02  8.35934419e-03  8.92989528e-03 -3.40931411e-03  1.16290144e-03  1.94132336e-03  6.11148352e-03 -1.40555791e-03  6.65379238e-03 -6.10013652e-03  3.30515327e-03 -2.93828777e-03 -1.17102770e-02  1.34885930e-03  3.47406188e-03 -5.42896352e-03  7.32261571e-04  1.26690072e-03
 7.02204400e+00 -2.09889805e-01 -7.09546877e-01  1.00351329e+00 -5.44495108e-01  5.37326985e-01 -5.64904624e-02  1.14107521e-01  1.36813628e-02  1.55674398e-02  7.10926700e-03  8.25637223e-03 -4.13422537e-03  8.41467099e-04  1.76192765e-03  5.88623564e-03 -1.66798469e-03  6.78255399e-03 -5.27474995e-03  3.00395019e-03 -3.01696464e-03 -1.12085570e-02  1.69154818e-03  3.38679646e-03 -5.23743135e-03  8.80564782e-04  1.28642837e-03
 7.07414800e+00 -2.65946407e-01 -6.58877069e-01  8.54814682e-01 -5.16810849e-01  4.72202837e-01 -5.93400111e-02  9.91638987e-02  1.04011558e-02  1.28718936e-02  5.95106076e-03  7.69698173e-03 -4.70390382e-03  5.67266350e-04  1.56227256e-03  5.68130052e-03 -1.78988521e-03  6.84725392e-03 -4.39655911e-03  2.62349739e-03 -3.10849092e-03 -1.06890505e-02  1.95995144e-03  3.26099296e-03 -5.04137860e-03  1.03866683e-03  1.26757867e-03
 7.12625300e+00 -3.13990083e-01 -6.11174928e-01  7.22005754e-01 -4.89938534e-01  4.13845720e-01 -6.14229029e-02  8.59858164e-02  7.54356968e-03  1.06077779e-02  4.87938744e-03  7.23134499e-03 -5.12438868e-03  3.38772833e-04  1.34301633e-03  5.48609405e-03 -1.78944731e-03  6.84941063e-03 -3.49572770e-03  2.18247906e-03 -3.21136181e-03 -1.01518585e-02  2.16048281e-03  3.10366716e-03 -4.84570619e-03  1.20337823e-03  1.21910250e-03
 7.17835700e+00 -3.54862731e-01 -5.66329388e-01  6.03570582e-01 -4.63939647e-01  3.61601508e-01 -6.28408288e-02  7.43865949e-02  5.06916648e-03  8.71554786e-03  3.89131000e-03  6.84052963e-03 -5.40634571e-03  1.52991488e-04  1.10683603e-03  5.29281052e-03 -1.68758771e-03  6.79302732e-03 -2.59752214e-03  1.70021485e-03 -3.32320009e-03 -9.59895727e-03  2.30118509e-03  2.92363211e-03 -4.65386826e-03  1.37115923e-03  1.14901931e-03
 7.23046100e+00 -3.89328859e-01 -5.24221949e-01  4.98116678e-01 -4.38857806e-01  3.14872074e-01 -6.36840767e-02  6.41939002e-02  2.93953635e-03  7.14119626e-03  2.98532686e-03  6.50742542e-03 -5.56402992e-03  5.85687865e-06  8.57867994e-04  5.09617846e-03 -1.50651475e-03  6.68405786e-03 -1.72237886e-03  1.19559137e-03 -3.44099068e-03 -9.03384960e-03  2.39102189e-03  2.73059047e-03 -4.46805883e-03  1.53846816e-03  1.06454552e-03
