# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 6.08416800e+00  3.79391511e+00 -2.18392533e+00  9.24237370e+00 -9.44052817e-01  4.14353734e+00  3.82893427e-01  1.08106486e+00  2.26350908e-01  2.32802516e-01  8.43383393e-02  5.45321350e-02  1.29261578e-02  1.25999876e-02  4.06332221e-03  4.61180295e-03  1.94553706e-02  7.54094277e-03  3.57923884e-02 -1.47567362e-02
 6.13627300e+00  3.30917452e+00 -2.07993210e+00  8.31731876e+00 -9.47728746e-01  3.73359932e+00  3.18950088e-01  9.63750752e-01  1.98443266e-01  2.01801595e-01  7.55095090e-02  4.69219694e-02  1.12596711e-02  1.12099757e-02  6.24241991e-03  6.08538505e-03  1.75686838e-02  9.98505172e-03  2.93875230e-02 -1.13520731e-02
 6.18837700e+00  2.87187435e+00 -1.97688160e+00  7.47524733e+00 -9.44705530e-01  3.36147544e+00  2.62882698e-01  8.58039704e-01  1.73711846e-01  1.75222629e-01  6.78551426e-02  4.03694415e-02  9.97796967e-03  9.82556679e-03  8.05819811e-03  7.20777912e-03  1.57332685e-02  1.22759975e-02  2.38173952e-02 -7.85262092e-03
 6.24048100e+00  2.47784787e+00 -1.87540412e+00  6.70923979e+00 -9.36073596e-01  3.02387127e+00  2.13906166e-01  7.62891577e-01  1.51803898e-01  1.52464516e-01  6.11654286e-02  3.46737376e-02  8.96206898e-03  8.45210384e-03  9.45308369e-03  7.95031242e-03  1.39808042e-02  1.43407296e-02  1.90022029e-02 -4.39365078e-03
 6.29258500e+00  2.12328377e+00 -1.77601056e+00  6.01293647e+00 -9.22772893e-01  2.71777360e+00  1.71290742e-01  6.77372066e-01  1.32413941e-01  1.32977178e-01  5.52639373e-02  2.96723964e-02  8.11434577e-03  7.10241386e-03  1.04078531e-02  8.31863637e-03  1.23402817e-02  1.61246212e-02  1.48672608e-02 -1.09101000e-03
 6.34468900e+00  1.80468695e+00 -1.67910796e+00  5.38047782e+00 -9.05613374e-01  2.44041871e+00  1.34358674e-01  6.00631604e-01  1.15273942e-01  1.16265839e-01  5.00041489e-02  2.52376799e-02  7.35780755e-03  5.79319686e-03  1.09336514e-02  8.34337268e-03  1.08358763e-02  1.75922400e-02  1.13425570e-02  1.96245743e-03
 6.39679400e+00  1.51884652e+00 -1.58501311e+00  4.80645571e+00 -8.85292696e-01  2.18926696e+00  1.02482411e-01  5.31890153e-01  1.00145895e-01  1.01893068e-01  4.52663010e-02  2.12724639e-02  6.63462807e-03  4.54251969e-03  1.10642558e-02  8.07160525e-03  9.48566443e-03  1.87262765e-02  8.36258362e-03  4.69780218e-03
 6.44889800e+00  1.26283278e+00 -1.49397323e+00  4.28592090e+00 -8.62413773e-01  1.96200289e+00  7.50859487e-02  4.70432060e-01  8.68175236e-02  8.94796708e-02  4.09547684e-02  1.77060450e-02  5.90419623e-03  3.36819230e-03  1.08490156e-02  7.55967969e-03  8.30118441e-03  1.95252553e-02  5.86651884e-03  7.06874133e-03
 6.50100200e+00  1.03394231e+00 -1.40616666e+00  3.81428454e+00 -8.37496248e-01  1.75648959e+00  5.16400724e-02  4.15590763e-01  7.50965302e-02  7.87008213e-02  3.69945813e-02  1.44889713e-02  5.14068576e-03  2.28644373e-03  1.03467120e-02  6.86735449e-03  7.28732238e-03  2.00008825e-02  3.79786333e-03  9.04975779e-03
 6.55310600e+00  8.29700662e-01 -1.32172017e+00  3.38733322e+00 -8.10989865e-01  1.57077315e+00  3.16635126e-02  3.66748909e-01  6.48088490e-02  6.92834139e-02  3.33288895e-02  1.15886687e-02  4.33061572e-03  1.31123260e-03  9.62038806e-03  6.05338623e-03  6.44290264e-03  2.01749899e-02  2.10463935e-03  1.06330056e-02
 6.60521000e+00  6.47838593e-01 -1.24071549e+00  3.00118997e+00 -7.83284182e-01  1.40306359e+00  1.47206006e-02  3.23333200e-01  5.57962062e-02  6.10009404e-02  2.99160244e-02  8.98493690e-03  3.47035770e-03  4.53732527e-04  8.73321606e-03  5.17235480e-03  5.76144661e-03  2.00766903e-02  7.39258923e-04  1.18252260e-02
 6.65731500e+00  4.86272925e-01 -1.16319510e+00  2.65228253e+00 -7.54716505e-01  1.25171937e+00  4.19014974e-04  2.84810976e-01  4.79144215e-02  5.36679510e-02  2.67267152e-02  6.66592707e-03  2.56377847e-03 -2.77938217e-04  7.74530497e-03  4.27255710e-03  5.23212991e-03  1.97397634e-02 -3.41598436e-04  1.26446387e-02
 6.70941900e+00  3.43103776e-01 -1.08917420e+00  2.33734613e+00 -7.25581193e-01  1.11524680e+00 -1.15914490e-02  2.50691043e-01  4.10328274e-02  4.71350032e-02  2.37417745e-02  4.62490075e-03  1.62019398e-03 -8.78735367e-04  6.71148670e-03  3.39487862e-03  4.84086071e-03  1.92004374e-02 -1.17704618e-03  1.31179669e-02
 6.76152300e+00  2.16582524e-01 -1.01863694e+00  2.05336192e+00 -6.96132295e-01  9.92271750e-01 -2.16230150e-02  2.20517612e-01  3.50324540e-02  4.12823379e-02  2.09493990e-02  2.85717575e-03  6.52420724e-04 -1.34669857e-03  5.67968282e-03  2.57219440e-03  4.57125194e-03  1.84954955e-02 -1.80228302e-03  1.32779235e-02
 6.81362700e+00  1.05112188e-01 -9.51546922e-01  1.79756447e+00 -6.66590666e-01  8.81541419e-01 -2.99514447e-02  1.93871902e-01  2.98058935e-02  3.60153014e-02  1.83433426e-02  1.35815963e-03 -3.24706147e-04 -1.68270450e-03  4.69011898e-03  1.82947767e-03  4.40562884e-03  1.76608399e-02 -2.24870182e-03  1.31608965e-02
 6.86573100e+00  7.23274869e-03 -8.87849392e-01  1.56741623e+00 -6.37147543e-01  7.81911893e-01 -3.68190978e-02  1.70369969e-01  2.52564593e-02  3.12595098e-02  1.59210603e-02  1.21759492e-04 -1.29560812e-03 -1.89021026e-03  3.77498513e-03  1.18420619e-03  4.32587238e-03  1.67303982e-02 -2.54413274e-03  1.28050997e-02
 6.91783600e+00 -7.83909150e-02 -8.27473408e-01  1.36058668e+00 -6.07967435e-01  6.92337789e-01 -4.24378341e-02  1.49660925e-01  2.12974709e-02  2.69566306e-02  1.36821648e-02 -8.60629597e-04 -2.24496382e-03 -1.97492561e-03  2.95852549e-03  6.47037271e-04  4.31414214e-03  1.57353436e-02 -2.71308392e-03  1.22490523e-02
 6.96994000e+00 -1.52972442e-01 -7.70339188e-01  1.17495172e+00 -5.79193267e-01  6.11870867e-01 -4.69914046e-02  1.31426979e-01  1.78519105e-02  2.30611402e-02  1.16273795e-02 -1.60057739e-03 -3.15836973e-03 -1.94444810e-03  2.25752621e-03  2.22690698e-04  4.35345683e-03  1.47036944e-02 -2.77698322e-03  1.15304494e-02
 7.02204400e+00 -2.17622879e-01 -7.16353587e-01  1.00855510e+00 -5.50945489e-01  5.39642245e-01 -5.06388396e-02  1.15379467e-01  1.48513295e-02  1.95368323e-02  9.75733555e-03 -2.11286712e-03 -4.02296553e-03 -1.80790013e-03  1.68187750e-03 -8.91893376e-05  4.42813392e-03  1.36599522e-02 -2.75445796e-03  1.06852122e-02
 7.07414800e+00 -2.73352327e-01 -6.65416898e-01  8.59610815e-01 -5.23326449e-01  4.74862508e-01 -5.35166525e-02  1.01258794e-01  1.22355123e-02  1.63546920e-02  8.07205159e-03 -2.41524905e-03 -4.82769233e-03 -1.57555286e-03  1.23544497e-03 -2.93047989e-04  4.52410067e-03  1.26251156e-02 -2.66158422e-03  9.74689348e-03
 7.12625300e+00 -3.21080397e-01 -6.17422584e-01  7.26483642e-01 -4.96421176e-01  4.16812424e-01 -5.57415306e-02  8.88320047e-02  9.95169990e-03  1.34907781e-02  6.57038404e-03 -2.52807471e-03 -5.56350569e-03 -1.25847304e-03  9.16937012e-04 -3.96515832e-04  4.62908675e-03  1.16167205e-02 -2.51215024e-03  8.74622273e-03
 7.17835700e+00 -3.61640011e-01 -5.72262504e-01  6.07687013e-01 -4.70301069e-01  3.64841327e-01 -5.74125637e-02  7.78918661e-02  7.95410392e-03  1.09248846e-02  5.24984882e-03 -2.47375611e-03 -6.22338197e-03 -8.68227729e-04  7.20843779e-04 -4.09545116e-04  4.73270629e-03  1.06490962e-02 -2.31792477e-03  7.71092868e-03
 7.23046100e+00 -3.95789689e-01 -5.29822760e-01  5.01856572e-01 -4.45022260e-01  3.18354966e-01 -5.86137210e-02  6.82535615e-02  6.20299809e-03  8.63902629e-03  4.10631288e-03 -2.27615754e-03 -6.80237284e-03 -4.16560029e-04  6.38302937e-04 -3.43643668e-04  4.82647676e-03  9.73349544e-03 -2.08888461e-03  6.66550215e-03
 7.28256500e+00 -4.24216104e-01 -4.89988635e-01  4.07750272e-01 -4.20629026e-01  2.76815011e-01 -5.94157176e-02  5.97537913e-02  4.66426714e-03  6.61678593e-03  3.13410046e-03 -1.95993074e-03 -7.29744894e-03  8.48378521e-05  6.57981721e-04 -2.11180450e-04  4.90375060e-03  8.87845988e-03 -1.83345606e-03  5.63125691e-03
 7.33466900e+00 -4.47540977e-01 -4.52644680e-01  3.24236018e-01 -3.97154475e-01  2.39733197e-01 -5.98779280e-02  5.22486570e-02  3.30875134e-03  4.84263020e-03  2.32604355e-03 -1.54987551e-03 -7.70736890e-03  6.24541417e-04  7.66854852e-04 -2.48028131e-05  4.95960656e-03  8.09010632e-03 -1.55872656e-03  4.62637519e-03
 7.38677400e+00 -4.66326908e-01 -4.17674955e-01  2.50281379e-01 -3.74621250e-01  2.06666414e-01 -6.00500682e-02  4.56117275e-02  2.11164549e-03  3.30145796e-03  1.67361905e-03 -1.07032791e-03 -8.03250810e-03  1.19157872e-03  9.50909004e-04  2.03053867e-04  4.99070325e-03  7.37242085e-03 -1.27063419e-03  3.66601291e-03
 7.43887800e+00 -4.81081125e-01 -3.84966429e-01  1.84950771e-01 -3.53044285e-01  1.77215189e-01 -5.99736884e-02  3.97327854e-02  1.05204286e-03  1.97844764e-03  1.16718859e-03 -5.44660357e-04 -8.27464126e-03  1.77552437e-03  1.19573428e-03  4.60536505e-04  4.99510703e-03  6.72760955e-03 -9.74165530e-04  2.76253738e-03
 7.49098200e+00 -4.92262390e-01 -3.54405603e-01  1.27389275e-01 -3.32429185e-01  1.51016230e-01 -5.96835167e-02  3.45154047e-02  1.12291363e-04  8.58734191e-04  7.96141709e-04  5.23396371e-06 -8.43677882e-03  2.36667049e-03  1.48705679e-03  7.36698318e-04  4.97211253e-03  6.15629374e-03 -6.73477610e-04  1.92560946e-03
 7.54308600e+00 -5.00283879e-01 -3.25881786e-01  7.68213501e-02 -3.12774891e-01  1.27741648e-01 -5.92085998e-02  2.98759120e-02 -7.22377802e-04 -7.25254936e-05  5.49176739e-04  5.59278488e-04 -8.52294038e-03  2.95605956e-03  1.81114179e-03  1.02169584e-03  4.92205243e-03  5.65782042e-03 -3.72055446e-04  1.16246891e-03
 7.59519000e+00 -5.05517660e-01 -2.99286849e-01  3.25427401e-02 -2.94074093e-01  1.07095181e-01 -5.85733116e-02  2.57417954e-02 -1.46429813e-03 -8.30177926e-04  4.14512821e-04  1.09950663e-03 -8.53796861e-03  3.53554559e-03  2.15512245e-03  1.30693242e-03  4.84611365e-03  5.23047490e-03 -7.28231568e-05  4.78135160e-04
 7.64729500e+00 -5.08298489e-01 -2.74515133e-01 -6.08630329e-03 -2.76313707e-01  8.88090031e-02 -5.77981966e-02  2.20502960e-02 -2.12376093e-03 -1.42903389e-03  3.80105242e-04  1.61026930e-03 -8.48734565e-03  4.09783342e-03  2.50724894e-03  1.58513812e-03  4.74615850e-03  4.87167426e-03  2.21762820e-04 -1.24380835e-04
 7.69939900e+00 -5.08927116e-01 -2.51465617e-01 -3.96437823e-02 -2.59476967e-01  7.26424488e-02 -5.69007596e-02  1.87474555e-02 -2.70930570e-03 -1.88374959e-03  4.33844231e-04  2.07831280e-03 -8.37703000e-03  4.63644621e-03  2.85702837e-03  1.85036797e-03  4.62456780e-03  4.57816657e-03  5.09608635e-04 -6.43811224e-04
