R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
4.0500;-91.6654;-94.7203;-102.4130;-110.9556;-116.4571;-117.3577;-114.6405;-110.4468;-107.0221;-106.2727;-109.4343;-116.5728;-125.7023;-131.4534;-124.2317;-92.8675;-34.9628;28.4802;57.0692
4.1000;-100.1457;-102.2583;-107.5088;-113.0033;-115.7243;-114.6028;-110.6937;-105.9501;-102.3469;-101.5524;-104.6781;-111.8982;-121.7628;-130.0734;-129.0783;-109.4952;-68.6994;-22.2872;-1.1044
4.1500;-105.5804;-106.9353;-110.2281;-113.2969;-113.8340;-111.1603;-106.3734;-101.2593;-97.5611;-96.7432;-99.8057;-107.0012;-117.3114;-127.4984;-131.3280;-121.0713;-93.9340;-61.1578;-45.9095
4.2000;-108.5829;-109.3327;-111.0678;-112.2233;-111.0667;-107.2248;-101.8153;-96.4747;-92.7475;-91.9230;-94.9017;-101.9907;-112.5164;-124.0251;-131.5297;-128.5777;-112.2562;-90.3214;-79.7970
4.2500;-109.6607;-109.9311;-110.4377;-110.1008;-107.6514;-102.9540;-97.1279;-91.6755;-87.9705;-87.1525;-90.0323;-96.9527;-107.5130;-119.8966;-130.1374;-132.8317;-124.9917;-111.6053;-104.8121
4.3000;-109.2322;-109.1267;-108.6750;-107.1900;-103.7745;-98.4748;-92.3971;-86.9232;-83.2800;-82.4781;-85.2486;-91.9547;-102.4093;-115.3104;-127.5253;-134.5111;-133.2432;-126.5302;-122.6573
4.3500;-107.6413;-107.2448;-106.0559;-103.7034;-99.5866;-93.8882;-87.6900;-82.2650;-78.7132;-77.9346;-80.5891;-87.0485;-97.2906;-110.4262;-124.0003;-134.1761;-137.9248;-136.3582;-134.7453
4.4000;-105.1697;-104.5513;-102.8054;-99.8133;-95.2087;-89.2741;-83.0585;-77.7363;-74.2977;-73.5475;-76.0822;-82.2732;-92.2234;-105.3718;-119.8126;-132.2881;-139.7921;-142.1336;-142.2455
4.4500;-102.0468;-101.2630;-99.1064;-95.6583;-90.7370;-84.6949;-78.5418;-73.3627;-70.0528;-69.3346;-71.7480;-77.6574;-87.2585;-100.2490;-115.1653;-129.2250;-139.4672;-144.7174;-146.1224
4.5000;-98.4589;-97.5553;-95.1060;-91.3496;-86.2473;-80.1985;-74.1690;-69.1624;-65.9912;-65.3072;-67.5998;-73.2214;-82.4342;-95.1373;-110.2218;-125.2950;-137.4603;-144.8173;-147.1688
4.6000;-90.4583;-89.4182;-86.6488;-82.6037;-77.4364;-71.5885;-65.9302;-61.3232;-58.4444;-57.8315;-59.8892;-64.9365;-73.3098;-85.1787;-99.9406;-115.7862;-129.9875;-139.7735;-143.2466
4.7000;-82.0393;-80.9577;-78.1106;-74.0709;-69.0974;-63.6277;-58.4338;-54.2580;-51.6733;-51.1308;-52.9683;-57.4658;-64.9803;-75.8263;-89.7125;-105.2262;-119.8429;-130.4506;-134.3497
4.8000;-73.7413;-72.6769;-69.8993;-66.0381;-61.4011;-56.3965;-51.7010;-47.9557;-45.6525;-45.1765;-46.8124;-50.8006;-57.4868;-67.2487;-79.9784;-94.5357;-108.6164;-119.0896;-122.9991
4.9000;-65.8797;-64.8667;-62.2430;-58.6535;-54.4204;-49.9101;-45.7097;-42.3750;-40.3329;-39.9178;-41.3720;-44.8988;-50.8148;-59.5101;-70.9765;-84.2654;-97.2966;-107.1047;-110.7918
5.0000;-58.6213;-57.6781;-55.2514;-51.9754;-48.1663;-44.1437;-40.4135;-37.4586;-35.6539;-35.2932;-36.5856;-39.7008;-44.9178;-52.6087;-62.8128;-74.7195;-86.4672;-95.3515;-98.7002
5.1000;-52.0369;-51.1716;-48.9587;-46.0060;-42.6119;-39.0499;-35.7531;-33.1426;-31.5503;-31.2378;-32.3870;-35.1388;-39.7320;-46.5040;-55.5094;-66.0408;-76.4440;-84.3142;-87.2807
5.2000;-46.1369;-45.3511;-43.3528;-40.7137;-37.7094;-34.5698;-31.6648;-29.3621;-27.9580;-27.6874;-28.7106;-31.1438;-35.1867;-41.1343;-49.0377;-58.2699;-67.3693;-74.2353;-76.8190
5.3000;-40.8954;-40.1869;-38.3943;-36.0488;-33.4005;-30.6409;-28.0848;-26.0545;-24.8158;-24.5815;-25.4942;-27.6493;-31.2106;-36.4284;-43.3408;-51.3857;-59.2773;-65.2044;-67.4283
5.4000;-36.2666;-35.6310;-34.0300;-31.9526;-29.6238;-27.2012;-24.9528;-23.1617;-22.0677;-21.8647;-22.6803;-24.5934;-27.7354;-32.3133;-38.3479;-45.3317;-52.1375;-57.2176;-59.1166
5.5000;-32.1950;-31.6267;-30.2010;-28.3646;-26.3185;-24.1920;-22.2129;-20.6310;-19.6632;-19.4868;-20.2174;-21.9199;-24.6980;-28.7184;-33.9839;-40.0340;-45.8831;-50.2178;-51.8311
5.6000;-28.6223;-28.1153;-26.8478;-25.2257;-23.4276;-21.5594;-19.8149;-18.4151;-17.5571;-17.4036;-18.0595;-19.5787;-22.0412;-25.5780;-30.1746;-35.4121;-40.4306;-44.1201;-45.4868
5.7000;-25.4911;-25.0395;-23.9136;-22.4805;-20.8987;-19.2547;-17.7140;-16.4726;-15.7101;-15.5759;-16.1662;-17.5257;-19.7147;-22.8329;-26.8505;-31.3865;-35.6910;-38.8289;-39.9854
5.8000;-22.7479;-22.3459;-21.3460;-20.0788;-18.6848;-17.2347;-15.8707;-14.7670;-14.0875;-13.9699;-14.5022;-15.7222;-17.6738;-20.4301;-23.9484;-27.8817;-31.5769;-34.2472;-35.2263
5.9000;-20.3434;-19.9858;-19.0976;-17.9755;-16.7442;-15.4618;-14.2507;-13.2667;-12.6595;-12.5559;-13.0370;-14.1348;-15.8801;-18.3232;-21.4115;-24.8290;-28.0069;-30.2830;-31.1133
6.0000;-18.2338;-17.9156;-17.1261;-16.1309;-15.0402;-13.9027;-12.8242;-11.9444;-11.4002;-11.3085;-11.7442;-12.7347;-14.3000;-16.4720;-19.1902;-22.1670;-24.9068;-26.8521;-27.5581
6.1000;-16.3801;-16.0970;-15.3947;-14.5101;-13.5412;-12.5288;-11.5654;-10.7764;-10.2873;-10.2058;-10.6011;-11.4970;-12.9049;-14.8417;-17.2411;-19.8417;-22.2111;-23.8793;-24.4817
6.2000;-14.7485;-14.4965;-13.8710;-13.0830;-12.2196;-11.3156;-10.4521;-9.7425;-9.3015;-9.2288;-9.5880;-10.4002;-11.6701;-13.4023;-15.5269;-17.8061;-19.8626;-21.2988;-21.8149
6.3000;-13.3094;-13.0850;-12.5272;-11.8236;-11.0517;-10.2416;-9.4653;-8.8251;-8.4266;-8.3612;-8.6883;-9.4261;-10.5744;-12.1283;-14.0154;-16.0198;-17.8116;-19.0535;-19.4978
6.4000;-12.0372;-11.8372;-11.3392;-10.7094;-10.0171;-9.2887;-8.5885;-8.0094;-7.6481;-7.5892;-7.8873;-8.5589;-9.5999;-10.9976;-12.6791;-14.4481;-16.0157;-17.0945;-17.4790
6.5000;-10.9100;-10.7316;-10.2864;-9.7213;-9.0982;-8.4412;-7.8077;-7.2824;-6.9540;-6.9007;-7.1728;-7.7852;-8.7309;-9.9916;-11.4945;-13.0614;-14.4385;-15.3803;-15.7147
6.6000;-9.9089;-9.7496;-9.3509;-8.8427;-8.2802;-7.6856;-7.1108;-6.6330;-6.3338;-6.2852;-6.5340;-7.0934;-7.9543;-9.0943;-10.4417;-11.8344;-13.0494;-13.8754;-14.1678
6.7000;-9.0176;-8.8752;-8.5176;-8.0594;-7.5501;-7.0103;-6.4873;-6.0516;-5.7785;-5.7341;-5.9617;-6.4734;-7.2586;-8.2919;-9.5034;-10.7456;-11.8220;-12.5501;-12.8072
