R(Angstrom),theta;0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
4.8;-71.53;-70.52;-67.89;-64.06;-59.34;-54.34;-49.77;-46.1;-43.83;-43.33;-44.87;-48.79;-55.46;-65.11;-77.59;-92.06;-106.42;-117.32;-121
4.9;-63.8;-62.9;-60.44;-56.87;-52.56;-48.06;-43.95;-40.69;-38.69;-38.24;-39.61;-43.07;-48.98;-57.59;-68.87;-82.12;-95.48;-105.73;-110
5;-56.7;-55.89;-53.65;-50.38;-46.5;-42.48;-38.81;-35.93;-34.17;-33.78;-34.98;-38.03;-43.23;-50.87;-60.94;-72.87;-85;-94.36;-97.9
5.1;-50.26;-49.55;-47.53;-44.59;-41.12;-37.55;-34.3;-31.75;-30.21;-29.87;-30.92;-33.6;-38.17;-44.9;-53.83;-64.45;-75.29;-83.67;-86.8
5.2;-44.5;-43.87;-42.07;-39.45;-36.37;-33.21;-30.34;-28.1;-26.74;-26.45;-27.37;-29.72;-33.73;-39.64;-47.5;-56.89;-66.46;-73.87;-76.7
5.3;-39.38;-38.83;-37.24;-34.92;-32.2;-29.41;-26.89;-24.91;-23.72;-23.45;-24.27;-26.33;-29.84;-35.02;-41.92;-50.17;-58.57;-65.06;-67.5
5.4;-34.86;-34.37;-32.98;-30.94;-28.54;-26.09;-23.86;-22.13;-21.07;-20.84;-21.56;-23.36;-26.44;-30.98;-37.02;-44.23;-51.57;-57.24;-59.4
5.5;-30.89;-30.46;-29.25;-27.45;-25.34;-23.18;-21.22;-19.69;-18.76;-18.55;-19.18;-20.77;-23.46;-27.44;-32.72;-39.01;-45.41;-50.33;-52.2
5.6;-27.41;-27.04;-25.97;-24.39;-22.54;-20.63;-18.91;-17.56;-16.74;-16.55;-17.1;-18.5;-20.86;-24.34;-28.96;-34.45;-40.01;-44.29;-45.9
5.7;-24.37;-24.03;-23.1;-21.72;-20.08;-18.4;-16.88;-15.69;-14.96;-14.8;-15.28;-16.51;-18.59;-21.64;-25.67;-30.46;-35.29;-39;-40.4
5.8;-21.7;-21.41;-20.59;-19.37;-17.93;-16.45;-15.11;-14.05;-13.4;-13.26;-13.68;-14.76;-16.59;-19.27;-22.8;-26.98;-31.18;-34.39;-35.6
5.9;-19.36;-19.11;-18.38;-17.32;-16.04;-14.73;-13.54;-12.61;-12.03;-11.9;-12.28;-13.23;-14.84;-17.2;-20.29;-23.93;-27.59;-30.38;-31.4
6;-17.31;-17.09;-16.45;-15.51;-14.38;-13.22;-12.17;-11.34;-10.82;-10.7;-11.04;-11.88;-13.31;-15.38;-18.09;-21.27;-24.46;-26.88;-27.8
6.1;-15.51;-15.32;-14.76;-13.92;-12.92;-11.89;-10.95;-10.21;-9.75;-9.65;-9.94;-10.69;-11.95;-13.78;-16.16;-18.95;-21.72;-23.83;-24.6
6.2;-13.93;-13.76;-13.26;-12.52;-11.63;-10.72;-9.88;-9.22;-8.81;-8.71;-8.97;-9.64;-10.76;-12.37;-14.47;-16.91;-19.34;-21.17;-21.9
6.3;-12.54;-12.38;-11.94;-11.29;-10.5;-9.67;-8.93;-8.34;-7.97;-7.88;-8.11;-8.71;-9.7;-11.13;-12.98;-15.13;-17.25;-18.85;-19.4
6.4;-11.3;-11.16;-10.77;-10.19;-9.48;-8.75;-8.08;-7.56;-7.23;-7.14;-7.35;-7.88;-8.76;-10.03;-11.67;-13.56;-15.42;-16.82;-17.3
6.5;-10.2;-10.08;-9.74;-9.21;-8.58;-7.93;-7.33;-6.86;-6.56;-6.49;-6.67;-7.14;-7.93;-9.06;-10.51;-12.17;-13.81;-15.04;-15.5
6.6;-9.24;-9.13;-8.82;-8.35;-7.78;-7.2;-6.66;-6.23;-5.96;-5.9;-6.06;-6.49;-7.19;-8.2;-9.49;-10.95;-12.39;-13.48;-13.9
6.7;-8.38;-8.28;-8;-7.58;-7.08;-6.55;-6.06;-5.68;-5.43;-5.37;-5.52;-5.9;-6.53;-7.43;-8.58;-9.88;-11.15;-12.11;-12.5
6.8;-7.61;-7.52;-7.27;-6.9;-6.44;-5.96;-5.52;-5.18;-4.96;-4.9;-5.03;-5.38;-5.94;-6.75;-7.77;-8.93;-10.05;-10.89;-11.2
6.9;-6.93;-6.85;-6.62;-6.28;-5.87;-5.44;-5.04;-4.73;-4.53;-4.48;-4.59;-4.9;-5.42;-6.14;-7.05;-8.08;-9.07;-9.82;-10.1
7;-6.31;-6.24;-6.03;-5.73;-5.35;-4.97;-4.61;-4.32;-4.14;-4.1;-4.2;-4.48;-4.94;-5.59;-6.41;-7.33;-8.21;-8.87;-9.12
7.2;-5.27;-5.21;-5.04;-4.79;-4.48;-4.16;-3.87;-3.63;-3.48;-3.44;-3.53;-3.76;-4.14;-4.66;-5.32;-6.06;-6.75;-7.27;-7.47
7.4;-4.43;-4.38;-4.24;-4.03;-3.77;-3.51;-3.26;-3.07;-2.94;-2.91;-2.98;-3.17;-3.48;-3.91;-4.45;-5.04;-5.6;-6.01;-6.17
7.6;-3.73;-3.7;-3.58;-3.4;-3.19;-2.97;-2.76;-2.6;-2.5;-2.47;-2.53;-2.69;-2.94;-3.3;-3.74;-4.22;-4.67;-5;-5.12
7.8;-3.17;-3.13;-3.04;-2.89;-2.71;-2.53;-2.35;-2.22;-2.13;-2.1;-2.15;-2.29;-2.5;-2.8;-3.16;-3.56;-3.92;-4.18;-4.28
8;-2.7;-2.67;-2.59;-2.46;-2.32;-2.16;-2.01;-1.9;-1.82;-1.8;-1.84;-1.96;-2.14;-2.39;-2.69;-3.02;-3.31;-3.53;-3.61
8.5;-1.84;-1.82;-1.77;-1.69;-1.59;-1.48;-1.39;-1.31;-1.26;-1.24;-1.27;-1.35;-1.47;-1.63;-1.83;-2.03;-2.22;-2.35;-2.4
